ID,Name,Shopping List Name,Nährwerte pro 100g,Kilokalorien,Kilojoule,Protein,Fett,Kohlenhydrate,davon Zucker,Ballaststoffe,Fettsäuren pro 100g,Gesättigte Fettsäuren,Einfach ungesättigte Fettsäuren,Mehrfach ungesättigte Fettsäuren,Cholesterin,Vitamine pro 100g,Vitamin A,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Vitamin B1,Vitamin B2,Vitamin B6,Vitamin B12,Biotin,Folsäure,Niacin,Panthotensäure,Mineralstoffe pro 100g,Calcium [Ca],Chlor [Cl],Kalium [K],Magnesium [Mg],Natrium [Na],Phosphor [P],Schwefel [S],Spurenelemente pro 100g,Kupfer [Cu],Eisen [Fe],Fluor [F],Mangan [Mn],Jod [J],Zink [Zn],Aminosäuren pro 100g,Alanin,Arginin,Aspargin,Asparginsäure,Cystein,Glutamin,Glutaminsäure,Glycerin,Histidin,Isoleucin,weitere Aminosäuren,Leucin,Lysin,Methionin,Phenylalanin,Prolin,Serin,Threonin,Tryptophan,Tyrosin,Valin,Compatible with vegetarian,Compatible with vegan,Compatible with pescetarian,Compatible with Paleo,Compatible with lactose intolerance,Compatible with fructose intolerance,Compatible with histamine intolerance,Compatible with gluten intolerance,Compatible with glutamat intolerance,Compatible with saccharose intolerance,Compatible with peanut intolerance,Compatible with almond intolerance,Compatible with haselnut intolerance,Compatible with walnut intolerance,Compatible with cashew intolerance,Compatible with pecan nut intolerance,Compatible with Brazil nut intolerance,Compatible with pistachio intolerance,Compatible with banana intolerance,Compatible with avocade intolerance,Compatible with apple intolerance,Compatible with kiwi fruit intolerance,Compatible with melon intolerance,Compatible with papaya intolerance,Compatible with peach intolerance,Compatible with strawberry intolerance,Is snack,Is fatburner,Price level,Synonym of,Exchangeable with (1:n),Food Category,Shopping List Category,Source
,,,,kcal,kJ,g,g,g,g,g,,g,g,g,g,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,,mg,mg,mg,mg,mg,mg,mg,,µg,µg,µg,µg,µg,µg,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ajvar,Ajvar (Paprika-Paste),,86,360,"1,2",5,"8,5","4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Ajvar,0,Gemüse,Sonstiges,https://www.yazio.com/de/kalorientabelle/ajvar-paprika-paste.html
3,Apfel,Apfel,,50,208,"0,3","0,4",11,"7,2","1,9",0,"0,1",0,"0,2",0,0,0,"11,3",0,"0,5",0,0,0,"0,1",0,0,0,"0,2","0,1",0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,15,7,54,108,1,12,25,8,6,11,0,17,16,3,9,10,12,7,2,5,12,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,2,Apfel,Birne,Obst,Obst,lexolino
4,Apfelessig,Apfelessig,,4,17,"0,4",0,"0,6","0,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,47,108,22,1,9,21,0,37,606,19,258,1,186,0,8,19,24,7,4,153,45,6,3,6,0,4,8,1,4,27,10,26,1,2,8,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,2,Apfelessig,"Olivenöl,Rapsöl,Sesamöl,Sonnenblumenöl",Fette & Speiseöle,Sonstiges,lexolino
5,Artischocke,Artischocke,,20,85,"2,3","0,1","2,4","2,1","11,2",0,0,0,"0,1",0,0,0,"8,5",0,"0,2",0,"0,1",0,"0,1",0,0,0,1,"0,3",0,52,38,326,24,43,138,15,0,333,1635,49,414,4,62,0,119,89,191,233,23,299,364,62,36,99,0,153,131,28,68,90,78,83,24,45,89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Artischocke,0,Gemüse,Gemüse,lexolino
6,Avocado,Avocado,,228,953,"1,8","23,5","0,4","0,4","3,3",0,"3,6","16,8","2,2",0,0,0,"12,4",0,"1,2",0,"0,1","0,1","0,5",0,0,0,"1,1",1,0,10,6,468,31,3,40,20,0,221,636,19,1,2,392,0,116,56,150,273,20,105,190,85,30,70,0,119,90,39,66,76,80,58,23,46,94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,3,Avocado,0,Obst,Gemüse,lexolino
7,Backpulver,Backpulver,,90,380,"0,1",0,22,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Backpulver,0,"Getreideprodukte, Nährmittel, Backwaren",Backwaren,
8,Balsamico,Balsamico,,135,570,0,0,33,30,,,0,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Balsamico,0,Gewürze & Kräuter,Gewürze & Kräuter,
9,Banane gegart,Banane,,98,410,"1,2","0,2","22,5","8,4","2,1",0,"0,1",0,"0,1",0,0,0,"7,1",0,"0,3",0,0,"0,1","0,3",0,0,0,"0,6","0,2",0,11,120,361,37,1,30,13,0,147,580,23,580,3,243,0,50,59,156,115,2,138,102,42,77,37,0,90,60,9,38,44,50,40,20,22,57,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,Banane,0,Obst,Obst,lexolino
10,Barbecuesauce,Barbecuesauce,,132,552,"1,8","0,1","30,5",4,2,0,0,0,0,0,0,"0,1","11,8",0,"1,7",0,"0,1","0,1","0,1",0,0,0,"1,4","0,3",0,42,2106,486,38,1190,47,43,0,264,918,18,347,3,470,0,58,69,71,207,17,183,536,47,32,53,0,80,85,12,53,50,57,53,14,37,54,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Barbecuesauce,0,Gewürze & Kräuter,Gewürze & Kräuter,lexolino
