ID,Name,Ingredient 1,Ingredient 1 Quantity,Ingredient 1 Unit,Ingredient 1 Real Weight (g),Ingredient 1 Omittable,Ingredient 1 Exchangeable With,Ingredient 2,Ingredient 2 Quantity,Ingredient 2 Unit,Ingredient 2 Real Weight (g),Ingredient 2 Omittable,Ingredient 2 Exchangeable With,Ingredient 3,Ingredient 3 Quantity,Ingredient 3 Unit,Ingredient 3 Real Weight (g),Ingredient 3 Omittable,Ingredient 3 Exchangeable With,Ingredient 4,Ingredient 4 Quantity,Ingredient 4 Unit,Ingredient 4 Real Weight (g),Ingredient 4 Omittable,Ingredient 4 Exchangeable With,Ingredient 5,Ingredient 5 Quantity,Ingredient 5 Unit,Ingredient 5 Real Weight (g),Ingredient 5 Omittable,Ingredient 5 Exchangeable With,Ingredient 6,Ingredient 6 Quantity,Ingredient 6 Unit,Ingredient 6 Real Weight (g),Ingredient 6 Omittable,Ingredient 6 Exchangeable With,Ingredient 7,Ingredient 7 Quantity,Ingredient 7 Unit,Ingredient 7 Real Weight (g),Ingredient 7 Omittable,Ingredient 7 Exchangeable With,Ingredient 8,Ingredient 8 Quantity,Ingredient 8 Unit,Ingredient 8 Real Weight (g),Ingredient 8 Omittable,Ingredient 8 Exchangeable With,Ingredient 9,Ingredient 9 Quantity,Ingredient 9 Unit,Ingredient 9 Real Weight (g),Ingredient 9 Omittable,Ingredient 9 Exchangeable With,Ingredient 10,Ingredient 10 Quantity,Ingredient 10 Unit,Ingredient 10 Real Weight (g),Ingredient 10 Omittable,Ingredient 10 Exchangeable With,Ingredient 11,Ingredient 11 Quantity,Ingredient 11 Unit,Ingredient 11 Real Weight (g),Ingredient 11 Omittable,Ingredient 11 Exchangeable With,Ingredient 12,Ingredient 12 Quantity,Ingredient 12 Unit,Ingredient 12 Real Weight (g),Ingredient 12 Omittable,Ingredient 12 Exchangeable With,Ingredient 13,Ingredient 13 Quantity,Ingredient 13 Unit,Ingredient 13 Real Weight (g),Ingredient 13 Omittable,Ingredient 13 Exchangeable With,Ingredient 14,Ingredient 14 Quantity,Ingredient 14 Unit,Ingredient 14 Real Weight (g),Ingredient 14 Omittable,Ingredient 14 Exchangeable With,Ingredient 15,Ingredient 15 Quantity,Ingredient 15 Unit,Ingredient 15 Real Weight (g),Ingredient 15 Omittable,Ingredient 15 Exchangeable With,Ingredient 16,Ingredient 16 Quantity,Ingredient 16 Unit,Ingredient 16 Real Weight (g),Ingredient 16 Omittable,Ingredient 16 Exchangeable With,Ingredient 17,Ingredient 17 Quantity,Ingredient 17 Unit,Ingredient 17 Real Weight (g),Ingredient 17 Omittable,Ingredient 17 Exchangeable With,Ingredient 18,Ingredient 18 Quantity,Ingredient 18 Unit,Ingredient 18 Real Weight (g),Ingredient 18 Omittable,Ingredient 18 Exchangeable With,Ingredient 19,Ingredient 19 Quantity,Ingredient 19 Unit,Ingredient 19 Real Weight (g),Ingredient 19 Omittable,Ingredient 19 Exchangeable With,Ingredient 20,Ingredient 20 Quantity,Ingredient 20 Unit,Ingredient 20 Real Weight (g),Ingredient 20 Omittable,Ingredient 20 Exchangeable With,Ingredient 21,Ingredient 21 Quantity,Ingredient 21 Unit,Ingredient 21 Real Weight (g),Ingredient 21 Omittable,Ingredient 21 Exchangeable With,Ingredient 22,Ingredient 22 Quantity,Ingredient 22 Unit,Ingredient 22 Real Weight (g),Ingredient 22 Omittable,Ingredient 22 Exchangeable With,Ingredient 23,Ingredient 23 Quantity,Ingredient 23 Unit,Ingredient 23 Real Weight (g),Ingredient 23 Omittable,Ingredient 23 Exchangeable With,Ingredient 24,Ingredient 24 Quantity,Ingredient 24 Unit,Ingredient 24 Real Weight (g),Ingredient 24 Omittable,Ingredient 24 Exchangeable With,Ingredient 25,Ingredient 25 Quantity,Ingredient 25 Unit,Ingredient 25 Real Weight (g),Ingredient 25 Omittable,Ingredient 25 Exchangeable With,Ingredient 26,Ingredient 26 Quantity,Ingredient 26 Unit,Ingredient 26 Real Weight (g),Ingredient 26 Omittable,Ingredient 26 Exchangeable With,Ingredient 27,Ingredient 27 Quantity,Ingredient 27 Unit,Ingredient 27 Real Weight (g),Ingredient 27 Omittable,Ingredient 27 Exchangeable With,Ingredient 28,Ingredient 28 Quantity,Ingredient 28 Unit,Ingredient 28 Real Weight (g),Ingredient 28 Omittable,Ingredient 28 Exchangeable With,Ingredient 29,Ingredient 29 Quantity,Ingredient 29 Unit,Ingredient 29 Real Weight (g),Ingredient 29 Omittable,Ingredient 29 Exchangeable With,Ingredient 30,Ingredient 30 Quantity,Ingredient 30 Unit,Ingredient 30 Real Weight (g),Ingredient 30 Omittable,Ingredient 30 Exchangeable With,Preparation Instruction,Difficulty,Preparation Time (min),Other time (min),Popularity,Source,Meal Category (1:n)
1,Omelette Powerfit,Eier,2,Stück,116,0,0,Tomate rot,1,Stück,96,0,0,Schwein Schinken gekocht,50,g,50,1,0,Mozzarella,1,Kugel,125,1,0,Petersilie,1,Bund,4,0,0,Tomate rot,2,EL,30,1,0,Sahne,50,g,55,1,0,Oregano,1,Prise,1,1,0,Butter,10,g,-,0,0,Parmesan,5,g,-,1,0,Jod-Salz,1,Prise,1,0,0,Pfeffer,1,Prise,"0,2",0,0,Muskatnuss,1,Prise,0.5,1,0,Zucker,1,Prise,1,1,0,Knoblauchzehe,"0,5",Stück,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2 EL [[ingredient6]] sehr fein hacken und in [[ingredient9]] mit etwas [[ingredient14]] kurz schwenken. 
[[ingredient7]] dazugeben und mit [[ingredient11]] und [[ingredient12]] würzen. Wer es etwas schärfer mag, mit Chilipulver ergänzen. 10 - 15 Minuten köcheln lassen. 
[[ingredient1]] mit gepresstem [[ingredient15]], [[ingredient5]], [[ingredient11]], [[ingredient12]] und [[ingredient13]] gut verquirlen. 
[[ingredient14]] in der Pfanne schmelzen lassen, [[ingredient1]] dazugeben, die Flüssigkeit soll den Boden voll bedecken. Auf milder Hitze mit der Rückseite eines Löffels immer gut verteilen. Ab und zu mit dem Löffel den Teig reißen, damit das noch flüssige [[ingredient1]] den Pfannenboden berührt. Es soll nur die untere Seite gebraten werden!
[[ingredient2]], [[ingredient3]], [[ingredient4]] sehr fein hacken und auf einer Hälfte des Omeletts verteilen. Die andere Hälfte vorsichtig darauf klappen. Es sieht dann so wie ein Halbmond aus.
Den Backofen auf ca. 180 Grad vorheizen, am besten die Grilloberseite. Etwas [[ingredient6]] und großzügig [[ingredient10]] auf das Omelett geben und die Pfanne in den Backofen schieben. So lange überbacken, bis der [[ingredient10]] geschmolzen ist.
[[ingredient6]] auf einem Teller verteilen, das Omelett darauf geben und mit [[ingredient5]] und [[ingredient10]] bestreut warm servieren.",1,20,-,1,,1
2,Hummus,Kichererbsen,400,g,400,0,0,Knoblauchzehe,"0,5",Stück,"1,5",0,0,Olivenöl,"0,5",TL,2,1,0,Zitrone Fruchtsaft,"0,75",TL,"1,5",1,0,Sesampaste,1,TL,5,1,0,Salz,"0,25",TL,"0,5",1,0,Kreuzkümmel,"0,25",TL,"0,5",1,0,"Paprikapulver, edelsüß","0,25",TL,,1,0,"Paprikapulver, rosenscharf","0,25",TL,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kichererbsen abtropfen lassen, dabei das Abtropfwasser auffangen und alle restlichen Zutaten mit dem Passierstab pürieren. Wenn das Mus zu fest sein sollte, etwas von dem aufgefangenen Kichererbsenwasser mit dazugeben, damit es die ungefähre Konsistenz von Kartoffelpüree hat. Wenn man getrocknete Kichererbsen nehmen und selbst kochen möchte, dann weicht man sie am besten über Nacht ein und kocht sie ca. 45 Minuten in genügend Wasser (ohne Salz) weich. Das wäre dann auch bei der Salzmenge für das Hummus zu beachten, da Kichererbsen in Konserven meist schon gesalzen sind.",2,10,-,200,,"1,2,3,4"
3,Gute Nacht Hüttenkäse,Hüttenkäse Magerstufe,200,g,200,0,0,Thunfisch Konserve,50,g,50,0,0,Leinsamen,20,g,20,0,0,Olivenöl,20,ml,12,1,0,Pfeffer schwarz,1,Prise,1,1,0,Jod-Salz,1,Prise,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alle Zutaten in einer Schüssel verrühren. Danach die Schüssel vor dem Verzehr in den Kühlschrank stellen, damit sich die Masse verfestigt.",1,2,0,3,,"1,4"
4,Chia Mandelpudding mit Himbeeren,Chiasamen,2,g,10,0,0,Mandelmilch,200,ml,200,0,0,Himbeere,125,g,125,0,0,Zucker,"0,5",TL,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chiasamen in Mandelmilch rühren und ca. 20 - 30 Minuten auf dem Herd erhitzen. Xucker und Himbeeren zugeben und mit Pürierstab umrühren.,1,2,0,190,,"1,4"
5,Low Carb Pancakes,Banane gegart,1,Stück,70,0,0,Eier,2,Stück,106,0,0,Olivenöl,1,EL,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Banane grob in Scheiben schneiden und mit Eiern in eine Schüssel geben. Mit Stabmixer die Masse mehrfach aufrühren, bis alles vermengt ist und keine Stückchen mehr in der Flüssigkeit schwimmen. Danach im heißen Öl zu Pancakes ausbacken.",1,2,10,20,,"1,4"
6,Superschnelle Mandelmilch aus Mandelmus,Wasser,500,ml,500,0,0,Mandelmus,20,g,20,0,0,Jod-Salz,1,Prise,1,0,0,Zimt,1,Prise,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Das kochende Wasser in einen Standmixer (Blender) geben, weißes Mandelmus, Salz und n. B. gemahlene Vanille oder Zimt hinzugeben und auf höchster Stufe 30 - 60 Sekunden mixen. Die Mandelmilch in ein Gefäß füllen und nach dem Abkühlen im Kühlschrank aufbewahren.",1,2,0,100,,4
7,Kleine Pfannkuchen,Frischkäse,60,g,60,0,0,Eier,2,Stück,116,0,0,Süßstoff (flüssig),"0,5",TL,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eier, Süßstoff und Frischkäse verrühren und mit wenig Öl kleine Kleckse in der Pfanne backen.",1,2,5,21,,"1,3,4"
8,Apfel - Zucchinigemüse,Zucchini,1,Stück,200,,,Apfel,1,Stück,100,0,0,Olivenöl,1,TL,3,0,0,Parmesan,10,g,10,0,0,Pfeffer,1,Prise,1,0,0,Jod-Salz,1,Prise,1,0,0,Brühwürfel,1,Stück,4,0,0,Zucker,1,Prise,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apfel und Zucchini schälen und würfeln. Eine Pfanne mit etwas Öl auspinseln, beides zugeben und anbraten. Währenddessen je nach Geschmack würzen, z.B. mit jeweils einer guten Prise Salz, Pfeffer, Würze (Vegeta, gekörnte Brühe etc.) und Zucker. Mehrmals umrühren. Auf Teller anrichten und nach Belieben noch mit geriebenem Parmesan oder anderem Käse garnieren.",1,3,0,26,,"1,3,4"
9,Thunfischfrikadellen,Thunfisch Konserve,100,g,100,0,0,Hühnerei Eiklar,40,g,40,0,0,Weizenmehl,"0,5",EL,5,0,0,Jod-Salz,1,Prise,1,0,0,Pfeffer,1,Prise,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thunfisch abtropfen lassen und in einer Schüssel zerkleinern. Eiweiß, Mehl, Salz und Pfeffer hinzufügen und alles vermengen. Frikadellen formen und von jeder Seite goldbraun braten.",1,3,8,231,,"2,3,4"
10,Low Carb Sandwich,Haferkleie,20,g,20,0,0,Eier,1,Stück,58,0,0,Quark Magerstufe,45,g,45,0,0,Backpulver,1,TL,3,0,0,Pfeffer,1,Prise,1,0,0,Jod-Salz,1,Prise,1,0,0,Frischkäse,1,EL,12,0,0,Schwein Schinken gekocht,1,Scheibe,40,0,0,Edamer,1,Scheibe,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haferkleie und Backpulver in mikrowellengeeignete Schüssel geben und vermengen. Quark und Ei dazugeben und verrühren. Mit Salz und Gewürzen mischen und etwa 10 Minuten quellen lassen. Abgedeckt 3 Minuten in Mikrowelle stellen. Dann herausnehmen umdrehen und offen bei etwa einer Minute erhitzen. Mittig durchschneiden, mit Frischkäse bestreichen, mit Wurst und Käse belegen und in Sandwichtoaster legen.",1,5,4,18,,"1,2,3,4"
