ID,Name,Ingredient 1,Ingredient 1 Quantity,Ingredient 1 Unit,Ingredient 1 Real Weight (g),Ingredient 1 Omittable,Ingredient 1 Exchangeable With,Ingredient 2,Ingredient 2 Quantity,Ingredient 2 Unit,Ingredient 2 Real Weight (g),Ingredient 2 Omittable,Ingredient 2 Exchangeable With,Ingredient 3,Ingredient 3 Quantity,Ingredient 3 Unit,Ingredient 3 Real Weight (g),Ingredient 3 Omittable,Ingredient 3 Exchangeable With,Ingredient 4,Ingredient 4 Quantity,Ingredient 4 Unit,Ingredient 4 Real Weight (g),Ingredient 4 Omittable,Ingredient 4 Exchangeable With,Ingredient 5,Ingredient 5 Quantity,Ingredient 5 Unit,Ingredient 5 Real Weight (g),Ingredient 5 Omittable,Ingredient 5 Exchangeable With,Ingredient 6,Ingredient 6 Quantity,Ingredient 6 Unit,Ingredient 6 Real Weight (g),Ingredient 6 Omittable,Ingredient 6 Exchangeable With,Ingredient 7,Ingredient 7 Quantity,Ingredient 7 Unit,Ingredient 7 Real Weight (g),Ingredient 7 Omittable,Ingredient 7 Exchangeable With,Ingredient 8,Ingredient 8 Quantity,Ingredient 8 Unit,Ingredient 8 Real Weight (g),Ingredient 8 Omittable,Ingredient 8 Exchangeable With,Ingredient 9,Ingredient 9 Quantity,Ingredient 9 Unit,Ingredient 9 Real Weight (g),Ingredient 9 Omittable,Ingredient 9 Exchangeable With,Ingredient 10,Ingredient 10 Quantity,Ingredient 10 Unit,Ingredient 10 Real Weight (g),Ingredient 10 Omittable,Ingredient 10 Exchangeable With,Ingredient 11,Ingredient 11 Quantity,Ingredient 11 Unit,Ingredient 11 Real Weight (g),Ingredient 11 Omittable,Ingredient 11 Exchangeable With,Ingredient 12,Ingredient 12 Quantity,Ingredient 12 Unit,Ingredient 12 Real Weight (g),Ingredient 12 Omittable,Ingredient 12 Exchangeable With,Ingredient 13,Ingredient 13 Quantity,Ingredient 13 Unit,Ingredient 13 Real Weight (g),Ingredient 13 Omittable,Ingredient 13 Exchangeable With,Ingredient 14,Ingredient 14 Quantity,Ingredient 14 Unit,Ingredient 14 Real Weight (g),Ingredient 14 Omittable,Ingredient 14 Exchangeable With,Ingredient 15,Ingredient 15 Quantity,Ingredient 15 Unit,Ingredient 15 Real Weight (g),Ingredient 15 Omittable,Ingredient 15 Exchangeable With,Ingredient 16,Ingredient 16 Quantity,Ingredient 16 Unit,Ingredient 16 Real Weight (g),Ingredient 16 Omittable,Ingredient 16 Exchangeable With,Ingredient 17,Ingredient 17 Quantity,Ingredient 17 Unit,Ingredient 17 Real Weight (g),Ingredient 17 Omittable,Ingredient 17 Exchangeable With,Ingredient 18,Ingredient 18 Quantity,Ingredient 18 Unit,Ingredient 18 Real Weight (g),Ingredient 18 Omittable,Ingredient 18 Exchangeable With,Ingredient 19,Ingredient 19 Quantity,Ingredient 19 Unit,Ingredient 19 Real Weight (g),Ingredient 19 Omittable,Ingredient 19 Exchangeable With,Ingredient 20,Ingredient 20 Quantity,Ingredient 20 Unit,Ingredient 20 Real Weight (g),Ingredient 20 Omittable,Ingredient 20 Exchangeable With,Ingredient 21,Ingredient 21 Quantity,Ingredient 21 Unit,Ingredient 21 Real Weight (g),Ingredient 21 Omittable,Ingredient 21 Exchangeable With,Ingredient 22,Ingredient 22 Quantity,Ingredient 22 Unit,Ingredient 22 Real Weight (g),Ingredient 22 Omittable,Ingredient 22 Exchangeable With,Ingredient 23,Ingredient 23 Quantity,Ingredient 23 Unit,Ingredient 23 Real Weight (g),Ingredient 23 Omittable,Ingredient 23 Exchangeable With,Ingredient 24,Ingredient 24 Quantity,Ingredient 24 Unit,Ingredient 24 Real Weight (g),Ingredient 24 Omittable,Ingredient 24 Exchangeable With,Ingredient 25,Ingredient 25 Quantity,Ingredient 25 Unit,Ingredient 25 Real Weight (g),Ingredient 25 Omittable,Ingredient 25 Exchangeable With,Ingredient 26,Ingredient 26 Quantity,Ingredient 26 Unit,Ingredient 26 Real Weight (g),Ingredient 26 Omittable,Ingredient 26 Exchangeable With,Ingredient 27,Ingredient 27 Quantity,Ingredient 27 Unit,Ingredient 27 Real Weight (g),Ingredient 27 Omittable,Ingredient 27 Exchangeable With,Ingredient 28,Ingredient 28 Quantity,Ingredient 28 Unit,Ingredient 28 Real Weight (g),Ingredient 28 Omittable,Ingredient 28 Exchangeable With,Ingredient 29,Ingredient 29 Quantity,Ingredient 29 Unit,Ingredient 29 Real Weight (g),Ingredient 29 Omittable,Ingredient 29 Exchangeable With,Ingredient 30,Ingredient 30 Quantity,Ingredient 30 Unit,Ingredient 30 Real Weight (g),Ingredient 30 Omittable,Ingredient 30 Exchangeable With,Preparation Instruction,Difficulty,Preparation Time (min),Other time (min),Popularity,Source,Meal Category (1:n)
5,Leckere Pancakes,Banane,1,Stück,70,0,0,Eier,2,Stück,106,0,0,Olivenöl,1,EL,10,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Banane grob in Scheiben schneiden und mit Eiern in eine Schüssel geben. Mit Stabmixer die Masse mehrfach aufrühren, bis alles vermengt ist und keine Stückchen mehr in der Flüssigkeit schwimmen. Danach im heißen Öl zu Pancakes ausbacken.",1,5,0,20,,1
6,Schnelle Mandelmilch,Mandelmus,20,g,20,0,0,Jod-Salz,1,Prise,1,1,0,Zimt,1,Prise,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eine Tasse kochendes Wasser in einen Standmixer (Blender) geben, weißes Mandelmus, Salz und Zimt hinzugeben und auf höchster Stufe 30 - 60 Sekunden mixen. Die Mandelmilch in ein Gefäß füllen und nach dem Abkühlen im Kühlschrank aufbewahren.",1,2,0,100,,"1,4"
7,Kleine Pfannkuchen,Frischkäse,60,g,60,0,0,Eier,2,Stück,116,0,0,Süßstoff (flüssig),"0,5",TL,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eier, Süßstoff und Frischkäse verrühren und mit wenig Öl kleine Kleckse in der Pfanne backen.",1,5,0,21,,"1,3"
8,Apfel-Zucchini Pfanne,Zucchini,1,Stück,209,0,0,Apfel,1,Stück,100,0,0,Olivenöl,1,TL,3,0,0,Parmesan,10,g,10,0,0,Pfeffer (schwarz),1,Prise,1,1,0,Jod-Salz,1,Prise,1,1,0,Gemüsebrühe,1,Prise,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apfel und Zucchini schälen und würfeln. Eine Pfanne mit etwas Öl auspinseln, beides zugeben und anbraten. Währenddessen mit jeweils einer guten Prise Gemüsebrühe, Salz & Pfeffer würzen. Mehrmals umrühren. Auf Teller anrichten und nach Belieben noch mit geriebenem Parmesan garnieren.",1,5,0,26,,3
9,Thunfisch Frikadelle,Thunfisch (Dose),100,g,100,0,0,Eier,40,g,40,0,0,Weizenmehl (Vollkorn),"0,5",EL,5,0,0,Jod-Salz,1,Prise,1,1,0,Pfeffer (schwarz),1,Prise,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thunfisch in einer Schüssel zerkleinern. Eiweiß, Mehl, Salz und Pfeffer hinzufügen und alles vermengen. Frikadellen formen und von jeder Seite goldbraun braten.",1,10,0,231,,"2,3"
11,Gemüse-Pfanne,Hähnchen (Brust),100,g,100,0,0,Champignons,50,g,50,0,0,Tomate (rot),50,g,50,0,0,Frischkäse,"0,5",EL,6,0,0,Jod-Salz,1,Prise,1,0,0,"Kräuter (TK, italienisch)","0,5",TL,2,0,0,Chilipulver,"0,5",TL,"0,5",0,0,Olivenöl,1,TL,3,0,0,Zwiebel,1,Stück,90,0,0,Pfeffer (schwarz),1,Prise,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geflügelfleisch, Champignons und Tomaten klein schneiden. Geflügelfleisch in etwas Öl anbraten und mit ein wenig Chiliflocken, sowie Salz und Pfeffer würzen. Danach Zwiebeln und Champignons dazugeben und 3 - 4 Minuten braten. Dann die restlichen Zutaten hinzu geben und umrühren. 5 Minuten leicht köcheln lassen.",1,10,0,78,,"2,3"
13,Schlanke Zucchinipfanne,Zucchini,2,Stück,418,0,0,Eier,2,Stück,116,0,0,Mozzarella,1,Kugel,150,0,0,Jod-Salz,1,Prise,1,0,0,Pfeffer (schwarz),1,Prise,1,0,0,Basilikum,6,Blatt,6,0,0,Tomate (rot),"1,5",Stück,150,0,0,Kokosöl,2,EL,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zucchini waschen, halbieren und in Scheiben schneiden. Kokosöl in Pfanne erhitzen und Zucchinischeiben darin braten. Zeitgleich Mozzarella in Würfel schneiden, Tomaten vierteln und Basilikum klein schneiden. Wenn Zucchinischeiben gebraten sind, Salz und Pfeffer zugeben. Ei in Pfanne schlagen, verrühren und den gewürfelten Käse untermischen. Auf Teller geben, kalte Tomaten und Basilikum darüber streuen und servieren.",1,10,0,50,,"2,3"
14,Geflügel-Gemüse-Pfanne,Putenbrust,125,g,125,0,0,Paprikaschote,"0,5",Stück,"77,5",0,0,Lauch / Porree,"0,5",Stück,30,0,0,Kaisergemüse (TK),200,g,200,0,0,Crème Légère,75,ml,75,0,0,Jod-Salz,1,Prise,1,0,0,Chilipulver,1,Prise,1,0,0,Sojasauce,1,TL,5,0,0,Olivenöl,"0,5",TL,"1,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kaisergemüse in Salzwasser garen, Paprikaschote klein schneiden und Lauch in Scheiben schneiden. Putengeschnetzeltes in Öl braten. Sobald es gar ist, kann das Gemüse hinzu gegeben werden. Mit Sojasauce, Chilipulver und Salz abschmecken und etwas weiter braten. Danach Crème Légère unterrühren und kurz köcheln lassen.",1,20,0,10,,"2,3"
15,Auberginen-Carpaccio,Aubergine,"0,5",Stück,100,0,0,Tomate (rot),3,Stück,300,0,,Knoblauchzehe,"0,5",Zehe,"1,5",0,,Tomatenmark,"0,5",TL,"2,5",0,0,Kümmel,1,Prise,1,1,0,Jod-Salz,1,g,1,1,0,Pfeffer (schwarz),1,Prise,1,1,0,Chilipulver,1,Prise,1,1,0,Olivenöl,1,TL,3,1,"173,213,220,55,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aubergine längs in dünne Scheiben schneiden, auf Küchenpapier auslegen und salzen. Zeitgleich Tomaten einschneiden, kurz in heißem Wasser blanchieren. Dann schälen, in kleine Würfel schneiden und in Schüssel geben. Mit etwas Salz, Pfeffer, gepresstem Knoblauch, Chilipulver und Tomatenmark abschmecken. Dann Grillpfanne anheizen und etwas Olivenöl hineingeben. Auberginen abtupfen und in die Grillpfanne legen. Von beiden Seiten grillen, bis sie gar sind und mit Salz und Kreuzkümmel abschmecken. Auberginenscheiben auf einen vorgewärmten Teller legen und Tomatensalsa darauf in der Mitte anrichten. Noch etwas frisches Olivenöl darüber träufeln und servieren.",1,20,0,94,,"2,3"
17,Einfacher Sellerie,Sellerie,1,Knolle,63,0,0,Butterschmalz,1,TL,4,1,0,Jod-Salz,1,Prise,1,1,0,Paprikapulver,1,Prise,"0,2",1,0,Petersilie,1,Prise,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Knollensellerie schälen und in 1cm dicke Scheiben schneiden. Sellerie in etwas Fett braten. Salzen, wenn Stücke knusprig und gebräunt sind. Mit Paprika würzen und mit Petersilie bestreut servieren.",1,25,0,89,,3
