ID,Name,Shopping List Name,Nährwerte pro 100g,Kilokalorien,Kilojoule,Protein,Fett,Kohlenhydrate,davon Zucker,Ballaststoffe,Fettsäuren pro 100g,Gesättigte Fettsäuren,Einfach ungesättigte Fettsäuren,Mehrfach ungesättigte Fettsäuren,Cholesterin,Vitamine pro 100g,Vitamin A,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Vitamin B1,Vitamin B2,Vitamin B6,Vitamin B12,Biotin,Folsäure,Niacin,Panthotensäure,Mineralstoffe pro 100g,Calcium [Ca],Chlor [Cl],Kalium [K],Magnesium [Mg],Natrium [Na],Phosphor [P],Schwefel [S],Spurenelemente pro 100g,Kupfer [Cu],Eisen [Fe],Fluor [F],Mangan [Mn],Jod [J],Zink [Zn],Aminosäuren pro 100g,Alanin,Arginin,Aspargin,Asparginsäure,Cystein,Glutamin,Glutaminsäure,Glycerin,Histidin,Isoleucin,weitere Aminosäuren,Leucin,Lysin,Methionin,Phenylalanin,Prolin,Serin,Threonin,Tryptophan,Tyrosin,Valin,Compatible with vegetarian,Compatible with vegan,Compatible with pescetarian,Compatible with Paleo,Compatible with lactose intolerance,Compatible with fructose intolerance,Compatible with histamine intolerance,Compatible with gluten intolerance,Compatible with glutamat intolerance,Compatible with saccharose intolerance,Compatible with peanut intolerance,Compatible with almond intolerance,Compatible with haselnut intolerance,Compatible with walnut intolerance,Compatible with cashew intolerance,Compatible with pecan nut intolerance,Compatible with Brazil nut intolerance,Compatible with pistachio intolerance,Compatible with banana intolerance,Compatible with avocade intolerance,Compatible with apple intolerance,Compatible with kiwi fruit intolerance,Compatible with melon intolerance,Compatible with papaya intolerance,Compatible with peach intolerance,Compatible with strawberry intolerance,Is snack,Is fatburner,Price level,Synonym of,Exchangeable with (1:n),Food Category,Shopping List Category,Source,In Live Foods?,Synonyme,Originalname,ValiCheck B
,,,,kcal,kJ,g,g,g,g,g,,g,g,g,g,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,,mg,mg,mg,mg,mg,mg,mg,,µg,µg,µg,µg,µg,µg,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Aal,Aal,,286,1196,"17,1","23,2",0,0,0,,"5,5","14,1","2,2","0,2",,"0,8","1,5",0,"8,4",0,"0,2","0,3","0,2",0,0,0,"2,2","0,1",,21,58,204,23,65,244,169,,104,636,38,35,3,1530,,1242,1029,32,1993,187,22,3009,1126,338,742,,1304,1383,476,665,697,687,783,175,654,916,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Aal,,Fisch,Fleisch & Fisch,lexolino,No,,Aal,1
2,Aal geräuchert,Geräucherter Aal ,,305,1276,"15,5","25,9",0,0,0,0,"6,2","16,1","2,3","0,1",0,"0,7","1,3",0,"7,3",0,"0,1","0,3","0,2",0,0,0,"2,1","0,1",0,17,59,167,20,65,207,178,0,92,573,35,27,4,1428,0,1045,789,168,1758,170,231,2409,965,286,635,0,1296,1150,408,627,615,667,719,163,550,889,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Aal,,Fisch,Fleisch & Fisch,lexolino,No,,Geräucherter Aal ,1
3,Aal gesalzen,Aal,,269,1126,"14,8","22,5",0,0,0,0,"5,9","12,8","2,3","0,1",0,"1,1","1,8",0,"7,3",0,"0,2","0,3","0,3",0,0,0,"2,8","0,1",0,53,8879,233,39,5966,251,139,0,113,592,41,53,7,1163,0,875,694,942,1592,135,1155,1951,793,252,530,0,1097,1081,334,471,515,512,542,124,488,669,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Aal,,Fisch,Fleisch & Fisch,lexolino,No,,Aal gesalzen,1
4,Aal Konserve,Aal (aus der Konserve),,281,1177,"14,2",24,0,0,0,0,"5,7","14,4","2,4","0,1",0,"0,4","1,1",0,"4,1",0,"0,1","0,2","0,2",0,0,0,"1,6","0,1",0,20,1312,173,22,885,192,134,0,92,472,30,27,3,1018,0,984,806,8,1656,155,18,2475,908,316,623,0,1183,1061,376,503,586,565,703,157,523,831,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Aal,,Fisch,Fleisch & Fisch,lexolino,No,,Aal (aus der Konserve),1
5,Aal Konserve in Öl,"Aal (aus der Konserve, in Öl)",,250,1048,"15,2","20,2",0,0,0,0,"3,5",8,"7,6","0,1",0,"0,4",1,0,"12,4",0,"0,1","0,2","0,2",0,0,0,"1,7","0,1",0,21,1269,187,20,848,199,132,0,84,525,27,24,4,1132,0,964,764,614,1537,145,851,2128,829,271,591,0,1123,1137,392,502,615,564,657,155,532,829,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Aal,,Fisch,Fleisch & Fisch,lexolino,No,,Aal Konserve in Öl,1
6,Acerola frisch,Acerola,,16,69,"0,2","0,2","3,3","2,7","1,5",0,"0,1",0,"0,1",0,0,0,1785,0,"0,3",0,0,"0,1",0,0,0,0,"0,4","0,3",0,13,11,79,12,3,18,9,0,118,242,17,29,1,371,0,8,7,37,21,1,39,22,7,3,6,0,10,12,2,5,7,8,6,2,4,7,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,Acerola,,Obst,Obst & Gemüse,lexolino,No,,Acerola frisch,1
7,Acerola frisch gegart,Acerola,,18,74,"0,2","0,3","3,5","2,4","1,8",0,"0,1",0,"0,1",0,0,0,"951,4",0,"0,3",0,0,"0,1",0,0,0,0,"0,3","0,3",0,12,11,69,12,2,17,11,0,139,241,18,30,1,364,0,9,8,32,19,1,51,30,7,3,6,0,12,12,2,5,7,7,6,2,4,7,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,Acerola,,Obst,Obst & Gemüse,lexolino,No,,Acerola frisch gegart,1
8,Acerola Fruchtsaft,Acerolasaft-Fruchtsaft,,20,82,"0,2","0,2","4,2","2,4",0,0,0,0,"0,1",0,0,0,"1078,5",0,"0,3",0,0,"0,1",0,0,0,0,"0,3","0,2",0,11,10,74,13,3,16,9,0,110,243,18,32,1,321,0,8,6,36,19,1,37,20,6,3,6,0,10,10,2,5,6,7,6,2,4,6,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,Acerola,,Obst,Obst & Gemüse,lexolino,No,,Acerola Fruchtsaft,1
9,Acerola getrocknet,Acerola (getrocknet),,214,896,"2,6","2,7","43,9","28,7","18,6",0,"0,6","0,5","1,1",0,0,"0,3","1388,6",0,3,"0,1","0,2","0,7","0,1",0,0,0,"3,6","3,1",0,139,118,924,126,32,183,123,0,1378,2563,207,330,12,4099,0,96,86,461,207,11,577,259,79,32,74,0,129,115,23,54,74,86,71,23,43,80,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,Acerola,,Obst,Obst & Gemüse,lexolino,No,,Acerola getrocknet,1
